iteration,train_loss,val_loss,acc,val_acc
0,2.731170415878296,2.347785904149341,0.1484375,0.1
100,4.91840755701065,2.253330950524397,0.111015625,0.1681
200,2.121742490530014,2.040409873245628,0.199453125,0.2253
300,2.0052955090999602,2.0331988706710233,0.23390625,0.2471
400,1.8997324097156525,1.8337536754122206,0.27329046424090336,0.2838
500,1.7904553949832915,1.6913443310245586,0.314296875,0.3461
600,1.689434095621109,1.630673323467279,0.357265625,0.3803
700,1.6235035407543181,1.5713339542887013,0.395078125,0.4154
800,1.5373193085193635,1.465671139158261,0.42542346298619826,0.4523
900,1.477528932094574,1.4607850487824459,0.449609375,0.4609
1000,1.438193016052246,1.4463238207397946,0.466015625,0.4758
1100,1.3747933733463287,1.4319915536102976,0.493984375,0.4813
1200,1.3324117684364318,1.3373134770211141,0.5179579673776662,0.5193
1300,1.2821004211902618,1.346013111673343,0.5340625,0.5214
1400,1.2535858076810837,1.2290677538343295,0.547109375,0.5669
1500,1.183121218085289,1.1836116310137852,0.57328125,0.5758
1600,1.165021538734436,1.2107555832073187,0.5781838143036386,0.5716
1700,1.1101958799362182,1.1259712451582502,0.60984375,0.605
1800,1.0907570189237594,1.1807766701005826,0.612734375,0.5869
1900,1.0535603803396225,1.0966117252969438,0.628984375,0.6205
2000,1.031985200047493,1.1871117638174895,0.6282151819322459,0.5832
2100,1.0157117336988448,1.1697988969505213,0.64546875,0.6007
2200,0.9854450702667237,1.024224319275777,0.646171875,0.6385
2300,0.9542686706781387,1.0162014790401337,0.665703125,0.6413
2400,0.9331115388870239,1.1146375077545263,0.6700909661229612,0.6225
2500,0.8996074384450913,0.9494831068500592,0.685625,0.6746
2600,0.9443306058645249,0.933405009044963,0.663671875,0.6752
2700,0.884689724445343,0.8755338583022926,0.68875,0.6941
2800,0.8466984730958939,1.0947313900965794,0.7042032622333751,0.6345
2900,0.8239180082082749,0.9125080461714677,0.714296875,0.6898
3000,0.8111029314994812,0.9407508961713997,0.71171875,0.6883
3100,0.8043928056955337,0.9090830657132871,0.718203125,0.689
3200,0.7816952729225158,0.8504263959872495,0.7242001254705144,0.7051
3300,0.7710179072618485,0.8135069196770905,0.727421875,0.7217
3400,0.7414246439933777,0.8524275285423182,0.74015625,0.7071
3500,0.7370505857467652,0.8225265585692825,0.74296875,0.72
